none -- [2022-04-03 13:07:04,436] INFO Watching for file changes with StatReloader
127.0.0.1 -- [2022-04-03 13:09:21,849] INFO "GET /management/tableData/pres_consignee/?&pres_num=MZ_2022040128300&page=1&limit=10 HTTP/1.1" 200 46
127.0.0.1 -- [2022-04-03 13:09:30,012] INFO "POST /management/presUpload/entryAddress/ HTTP/1.1" 200 60
127.0.0.1 -- [2022-04-03 13:09:30,034] INFO "GET /management/tableData/address_table/?&custom_num=05105629&page=1&limit=10 HTTP/1.1" 200 350
127.0.0.1 -- [2022-04-03 13:09:47,985] INFO "POST /management/presUpload/savePresAddress/ HTTP/1.1" 200 63
127.0.0.1 -- [2022-04-03 13:09:48,114] INFO "GET /management/tableData/pres_consignee/?&pres_num=MZ_2022040128300&page=1&limit=10 HTTP/1.1" 200 443
127.0.0.1 -- [2022-04-03 13:09:50,440] INFO "GET /management/presUpload/ZY_home/ HTTP/1.1" 200 7016
127.0.0.1 -- [2022-04-03 13:09:50,571] INFO "GET /management/tableData/view_table/?flag=ZY&page=1&limit=10 HTTP/1.1" 200 46
127.0.0.1 -- [2022-04-03 13:09:52,040] INFO "GET /management/presUpload/entryAddress/?flag=MZ&pres_num=MZ_2022040128300&custom_num=05105629 HTTP/1.1" 200 16708
127.0.0.1 -- [2022-04-03 13:09:52,119] INFO "GET /management/tableData/address_table/?&custom_num=05105629&page=1&limit=10 HTTP/1.1" 200 350
127.0.0.1 -- [2022-04-03 13:09:52,119] INFO "GET /management/tableData/pres_consignee/?&pres_num=MZ_2022040128300&page=1&limit=10 HTTP/1.1" 200 443
127.0.0.1 -- [2022-04-03 13:10:32,347] INFO "GET /management/tableData/view_table/?flag=ZY&page=1&limit=10&userName=&presNum=&startDate=2022-04-01+00%3A00%3A00&endDate=2022-04-03+13%3A10%3A31 HTTP/1.1" 200 6277
127.0.0.1 -- [2022-04-03 13:10:35,100] INFO "GET /management/presUpload/entryAddress/?flag=ZY&pres_num=ZY_2022040228854&custom_num=82713 HTTP/1.1" 200 17142
127.0.0.1 -- [2022-04-03 13:10:35,194] INFO "GET /management/tableData/address_table/?&custom_num=82713&page=1&limit=10 HTTP/1.1" 200 46
127.0.0.1 -- [2022-04-03 13:10:35,196] INFO "GET /management/tableData/pres_consignee/?&pres_num=ZY_2022040228854&page=1&limit=10 HTTP/1.1" 200 46
127.0.0.1 -- [2022-04-03 13:10:36,849] INFO "GET /management/company/ HTTP/1.1" 200 262
